
dataset	sumpairdif_0_mean	sumpairdif_0_std	theta_0_mean	theta_0_std	D_0_mean	D_0_std	pi_0_mean	pi_0_std	sumpairdif_1_mean	sumpairdif_1_std	theta_1_mean	theta_1_std	D_1_mean	D_1_std	pi_1_mean	pi_1_std	sumpairdif_2_mean	sumpairdif_2_std	theta_2_mean	theta_2_std	D_2_mean	D_2_std	pi_2_mean	pi_2_std	sumpairdif_3_mean	sumpairdif_3_std	theta_3_mean	theta_3_std	D_3_mean	D_3_std	pi_3_mean	pi_3_std	d_0x1_mean	d_0x1_std	dn_0x1_mean	dn_0x1_std	FST_0x1_mean	FST_0x1_std	bialsites_0x1_mean	bialsites_0x1_std	multisites_0x1_mean	multisites_0x1_std	sfA_0x1_mean	sfA_0x1_std	sfB_0x1_mean	sfB_0x1_std	sfout_0x1_mean	sfout_0x1_std	sxA_0x1_mean	sxA_0x1_std	sxB_0x1_mean	sxB_0x1_std	sxAfB_0x1_mean	sxAfB_0x1_std	sxBfA_0x1_mean	sxBfA_0x1_std	ss_0x1_mean	ss_0x1_std	Wald_0x1_mean	Wald_0x1_std	d_0x2_mean	d_0x2_std	dn_0x2_mean	dn_0x2_std	FST_0x2_mean	FST_0x2_std	bialsites_0x2_mean	bialsites_0x2_std	multisites_0x2_mean	multisites_0x2_std	sfA_0x2_mean	sfA_0x2_std	sfB_0x2_mean	sfB_0x2_std	sfout_0x2_mean	sfout_0x2_std	sxA_0x2_mean	sxA_0x2_std	sxB_0x2_mean	sxB_0x2_std	sxAfB_0x2_mean	sxAfB_0x2_std	sxBfA_0x2_mean	sxBfA_0x2_std	ss_0x2_mean	ss_0x2_std	Wald_0x2_mean	Wald_0x2_std	d_0x3_mean	d_0x3_std	dn_0x3_mean	dn_0x3_std	FST_0x3_mean	FST_0x3_std	bialsites_0x3_mean	bialsites_0x3_std	multisites_0x3_mean	multisites_0x3_std	sfA_0x3_mean	sfA_0x3_std	sfB_0x3_mean	sfB_0x3_std	sfout_0x3_mean	sfout_0x3_std	sxA_0x3_mean	sxA_0x3_std	sxB_0x3_mean	sxB_0x3_std	sxAfB_0x3_mean	sxAfB_0x3_std	sxBfA_0x3_mean	sxBfA_0x3_std	ss_0x3_mean	ss_0x3_std	Wald_0x3_mean	Wald_0x3_std	d_1x2_mean	d_1x2_std	dn_1x2_mean	dn_1x2_std	FST_1x2_mean	FST_1x2_std	bialsites_1x2_mean	bialsites_1x2_std	multisites_1x2_mean	multisites_1x2_std	sfA_1x2_mean	sfA_1x2_std	sfB_1x2_mean	sfB_1x2_std	sfout_1x2_mean	sfout_1x2_std	sxA_1x2_mean	sxA_1x2_std	sxB_1x2_mean	sxB_1x2_std	sxAfB_1x2_mean	sxAfB_1x2_std	sxBfA_1x2_mean	sxBfA_1x2_std	ss_1x2_mean	ss_1x2_std	Wald_1x2_mean	Wald_1x2_std	d_1x3_mean	d_1x3_std	dn_1x3_mean	dn_1x3_std	FST_1x3_mean	FST_1x3_std	bialsites_1x3_mean	bialsites_1x3_std	multisites_1x3_mean	multisites_1x3_std	sfA_1x3_mean	sfA_1x3_std	sfB_1x3_mean	sfB_1x3_std	sfout_1x3_mean	sfout_1x3_std	sxA_1x3_mean	sxA_1x3_std	sxB_1x3_mean	sxB_1x3_std	sxAfB_1x3_mean	sxAfB_1x3_std	sxBfA_1x3_mean	sxBfA_1x3_std	ss_1x3_mean	ss_1x3_std	Wald_1x3_mean	Wald_1x3_std	d_2x3_mean	d_2x3_std	dn_2x3_mean	dn_2x3_std	FST_2x3_mean	FST_2x3_std	bialsites_2x3_mean	bialsites_2x3_std	multisites_2x3_mean	multisites_2x3_std	sfA_2x3_mean	sfA_2x3_std	sfB_2x3_mean	sfB_2x3_std	sfout_2x3_mean	sfout_2x3_std	sxA_2x3_mean	sxA_2x3_std	sxB_2x3_mean	sxB_2x3_std	sxAfB_2x3_mean	sxAfB_2x3_std	sxBfA_2x3_mean	sxBfA_2x3_std	ss_2x3_mean	ss_2x3_std	Wald_2x3_mean	Wald_2x3_std

0	2.47005	2.29891	0.00250085	0.00187121	0.140861	1.17076	0.00260951	0.00209302	4.3718	6.47719	0.0026526	0.00184124	0.411139	1.13767	0.00321782	0.00313099	1.48686	2.50839	0.00122672	0.00154544	0.525122	0.874048	0.00162772	0.00228001	4.60828	6.90511	0.00331804	0.001893	0.0384087	0.86124	0.0035608	0.0029989	0.0042444	0.00345097	0.00133074	0.00151749	0.109817	0.162007	11	6.29153	0	0	0	0	0	0	0.16	0.8	2.48	1.63605	3.16	2.2301	0.08	0.276887	0.16	0.472582	4.96	4.81733	-9	0	0.00451336	0.00457287	0.00239475	0.003595	0.278455	0.312125	9.04	5.51876	0	0	0.04	0.2	0.16	0.553775	0.04	0.2	4.56	3.04248	1.04	1.48549	0.76	1.3626	0.24	0.879394	2.2	3.77492	-9	0	0.00435657	0.00390717	0.00127142	0.00227839	0.134272	0.187069	12.88	7.21295	0	0	0	0	0	0	0	0	2.16	1.772	5.04	3.18172	0.24	1.2	0.32	0.9	5.12	4.33321	-9	0	0.00406998	0.00292039	0.00164721	0.00160791	0.166217	0.352431	9.32	5.64004	0	0	0	0	0	0	0.04	0.2	4.88	3.30807	0.8	0.866025	0.92	1.68127	0.2	0.816497	2.48	4.00125	-9	0	0.00427532	0.00327591	0.000886007	0.00113793	0.0976192	0.167295	13	7.16473	0	0	0	0	0	0	0	0	2.28	1.76824	4.48	2.502	0.24	1.2	0.24	0.830662	5.76	4.9521	-9	0	0.004019	0.00276647	0.00142474	0.00112925	0.261221	0.207143	11.68	6.45316	0	0	0.04	0.2	0	0	0	0	0.92	1.25565	7.24	4.63033	0.24	1.2	0.92	1.63095	2.32	3.23677	-9	0
1	1.9044	1.77419	0.00167254	0.00102289	0.275579	1.33782	0.00184649	0.00150241	2.79895	2.67645	0.00179017	0.000920187	0.785017	0.931991	0.00226644	0.00130408	1.16198	2.25147	0.000760158	0.000952762	0.352839	1.13868	0.000878652	0.000993905	0.399195	0.710939	0.000378773	0.000395741	-0.390665	0.648558	0.000269503	0.000304616	0.00329593	0.00209903	0.00123946	0.00155134	0.172832	0.193301	15.04	6.77913	0	0	0	0	0	0	0	0	3.52	2.45153	4.52	3.8635	0.4	1.04083	0.36	1.25433	6.24	4.13602	-9	0	0.00297546	0.00246111	0.00161289	0.00175918	0.293303	0.313831	12.64	6.07509	0	0	0.16	0.553775	0.12	0.439697	0.2	0.816497	5.96	3.58794	2	1.77951	1.52	2.06398	0	0	2.68	4.46953	-9	0	0.00285338	0.00189158	0.00179539	0.00157878	0.392824	0.258271	12.08	6.16387	0	0	0.24	0.879394	0.12	0.439697	0.12	0.439697	6.48	3.68691	1.44	2.04287	2.52	2.64764	0	0	1.16	1.88591	-9	0	0.00283187	0.00214791	0.00125933	0.00154944	0.301491	0.166986	13.56	6.4361	0	0	0.04	0.2	0.08	0.276887	0.08	0.276887	7	4.53689	1.96	2.05102	1.68	1.99416	0.28	1.02144	2.44	3.31763	-9	0	0.00312151	0.00222875	0.00185354	0.00176609	0.335497	0.192791	12.88	6.45058	0	0	0.08	0.276887	0.16	0.472582	0.28	1.02144	7.44	4.02161	1.2	1.82574	2.32	2.07605	0.04	0.2	1.36	1.9975	-9	0	0.00274723	0.00269611	0.00217315	0.00238568	0.558872	0.303881	8.92	5.4	0	0	0.56	0.916515	0.56	1.15758	1.04	1.54056	3	2.73861	1.84	2.35726	1.16	2.64071	0.24	0.597216	0.52	0.918332	-7.88	3.91918
2	1.19443	1.25946	0.000984824	0.000747466	0.366461	1.28784	0.00108091	0.000906471	2.15564	2.3887	0.00133748	0.000779124	0.640351	0.822961	0.0016377	0.000970958	1.08569	1.2271	0.00123284	0.000737175	0.188752	1.08621	0.00126364	0.000799122	2.10401	2.24938	0.0014107	0.00071893	0.271162	0.895003	0.00160299	0.00100996	0.00189816	0.001159	0.000538853	0.000606605	0.112391	0.209586	15.12	8.47703	0	0	0	0	0	0	0.08	0.4	2.24	2.25979	5.2	4.58258	0.24	0.879394	0.92	2.43105	6.44	5.0751	-9	0	0.00166813	0.00106322	0.000495853	0.000445252	0.139978	0.197401	13.88	7.15495	0	0	0	0	0	0	0.36	1.22066	2.72	2.54165	3.96	3.07517	0.16	0.472582	0.64	1.57797	6.04	5.28741	-9	0	0.00207589	0.00167087	0.000733942	0.00121069	0.129572	0.215002	15.96	8.28895	0	0	0	0	0	0	0	0	2.08	2.25315	6.04	4.74763	0.24	0.723418	1	2.43242	6.6	5.11534	-9	0	0.00183081	0.00107376	0.000380144	0.000429465	0.0808867	0.117661	15.48	7.89578	0	0	0	0	0	0	0.08	0.4	4.32	3.14537	2.6	1.89297	0.44	1.22746	0.24	0.879394	7.8	5.61991	-9	0	0.00214973	0.00146485	0.000529383	0.000815049	0.0989909	0.209882	17.48	9.01905	0	0	0	0	0	0	0.08	0.4	3.6	2.67706	4.6	2.5	0.16	0.472582	0.24	0.879394	8.8	6.13052	-9	0	0.00204616	0.00152729	0.000612843	0.000993687	0.104763	0.137106	16.52	8.12978	0	0	0	0	0	0	0.12	0.439697	2.64	1.95533	5.36	3.23883	0.12	0.439697	0.4	1.22474	7.88	5.36439	-9	0
3	1.04269	1.30306	0.000636799	0.0004377	0.381509	1.42248	0.000747061	0.000713481	1.42775	1.6666	0.000867811	0.000418714	0.486818	1.19826	0.00105516	0.000716017	0.696179	0.723958	0.000963752	0.000462877	-0.186277	1.00526	0.000925553	0.000595122	1.3125	1.04651	0.000944848	0.000456043	0.589405	0.962126	0.00110733	0.000615539	0.00137634	0.000762448	0.000475234	0.000383693	0.198743	0.140338	13.16	5.58778	0	0	0	0	0	0	0.28	0.613732	2.04	1.7673	4.72	2.66958	0.04	0.2	0.2	0.5	5.88	5.23068	-9	0	0.00125398	0.000902225	0.000417674	0.000624168	0.136814	0.17315	13.4	6.08961	0	0	0	0	0	0	0.04	0.2	2.2	1.87083	4.96	3.37244	0	0	0.44	0.916515	5.76	4.6483	-9	0	0.00127668	0.000793084	0.000349481	0.000496404	0.138471	0.128701	14.48	6.80759	0	0	0	0	0	0	0.16	0.472582	2.08	1.89121	6.04	4.91155	0.16	0.6245	0.32	0.852447	5.72	4.57821	-9	0	0.00134058	0.000786384	0.000350229	0.000313413	0.0988533	0.141709	15.36	6.25753	0	0	0	0	0	0	0.04	0.2	4.16	2.62488	4.24	3.12623	0	0	0.28	0.613732	6.64	4.75114	-9	0	0.0014793	0.000725212	0.000398054	0.000311497	0.123946	0.106117	16.28	7.61315	0	0	0	0	0	0	0.12	0.439697	3.88	2.96254	5.16	4.30774	0.2	0.645497	0.2	0.5	6.72	4.27707	-9	0	0.0013045	0.00065409	0.000288064	0.000217127	0.0822055	0.106957	16.24	7.12554	0	0	0	0	0	0	0	0	3.84	2.62488	5.04	4.13803	0.32	0.748331	0.04	0.2	7	4.42531	-9	0
4	0.513813	0.577811	0.000313352	0.000202781	0.277384	1.15121	0.000368259	0.000340893	0.541474	0.613072	0.000401793	0.00023618	0.218454	1.10121	0.000427535	0.000283642	0.365039	0.402077	0.000388196	0.000281462	0.378089	0.896465	0.00044391	0.000328811	0.494033	0.925835	0.000254414	0.000254309	0.602929	1.26624	0.000365014	0.000436414	0.000728138	0.000555135	0.000330241	0.000468751	0.240713	0.24222	8.28	4.13844	0	0	0	0	0	0	0	0	1.64	1.49666	2.84	2.37487	0.28	0.890693	0.28	0.678233	3.24	3.29495	-9	0	0.000777903	0.000596672	0.000371818	0.000449583	0.282599	0.174085	8.2	5.11534	0	0	0	0	0	0	0.12	0.439697	1.88	1.85562	2.76	2.84722	0.36	1.03602	0.16	0.553775	2.92	2.78268	-9	0	0.000592019	0.000446083	0.000225383	0.000215683	0.204675	0.249832	7	4.41588	0	0	0	0	0.04	0.2	0.28	0.678233	2.16	2.13464	1.52	1.61038	0.28	0.541603	0	0	2.72	3.57678	-9	0	0.000809905	0.000632612	0.000374183	0.000456978	0.181878	0.23447	8.84	4.94705	0	0	0	0	0	0	0.08	0.4	2.52	2.0025	2.2	2.06155	0.4	1.04083	0.2	0.57735	3.44	3.52467	-9	0	0.00065524	0.000494323	0.000258966	0.000252682	0.197701	0.239084	7.92	4.91528	0	0	0	0	0	0	0.04	0.2	3.08	2.5645	1.28	1.72047	0.56	0.768115	0.24	0.879394	2.72	3.71394	-9	0	0.000639016	0.000565273	0.000234554	0.000401605	0.125861	0.287701	7.76	5.34072	0	0	0	0	0	0	0.12	0.439697	2.92	3.09462	1.44	2.00167	0.48	0.714143	0.36	1.03602	2.44	3.51283	-9	0
5	0.182325	0.261421	0.000135956	0.000143208	0.359118	1.11817	0.000174403	0.000210833	0.849805	0.976015	0.000472037	0.000295189	0.495011	0.898443	0.000548493	0.000345355	0.3379	0.559012	0.000301506	0.000239916	0.109965	1.41374	0.000343056	0.000370376	0.575278	0.788106	0.000378294	0.000251368	0.0745167	1.02849	0.000422975	0.000388677	0.000505962	0.000269072	0.000144514	0.000131583	0.159906	0.213693	9.96	6.4774	0	0	0	0	0	0	0	0	0.72	0.842615	6.16	5.16946	0	0	1.28	2.11187	1.8	2.36291	-9	0	0.000466585	0.000354835	0.000207856	0.000219894	0.127234	0.445395	6.92	4.62709	0	0	0	0	0	0	0.36	1.03602	1	1.22474	3.12	3.33317	0.2	1	0.92	1.75404	1.32	1.70098	-9	0	0.0005209	0.00042912	0.000222211	0.000284066	0.165078	0.441254	8.12	5.16656	0	0	0	0	0	0	0.16	0.8	0.72	0.890693	4.32	3.28786	0.12	0.331662	1.12	2.04776	1.68	2.37557	-9	0	0.000628695	0.000380431	0.00018292	0.000182066	0.156301	0.239403	10.6	6.68331	0	0	0	0	0	0	0	0	4.68	4.07962	1.36	1.35031	0.56	1.38684	0	0	4	4	-9	0	0.000603882	0.000411407	0.000118148	0.000149381	0.116399	0.107195	11.16	7.09272	0	0	0	0	0	0	0	0	3.76	3.46747	1.92	1.38203	0.28	0.842615	0	0	5.2	4.31084	-9	0	0.000604584	0.000444997	0.000221569	0.000236599	0.180808	0.207129	9.16	5.35164	0	0	0	0	0	0	0.16	0.8	1.76	1.78606	3.24	1.98494	0.12	0.331662	0.4	1.19024	3.48	3.8527	-9	0
6	0.785964	0.81893	0.000629887	0.000378446	0.23521	1.00613	0.000690138	0.00050121	0.896692	1.30948	0.000557114	0.000300126	0.365429	1.0693	0.000633243	0.000448278	0.389365	0.560536	0.000289886	0.000251167	0.379234	1.41909	0.000337559	0.000330445	0.543872	0.736581	0.000351129	0.000260305	0.675387	1.33672	0.000451726	0.000380237	0.000883733	0.000534751	0.000222042	0.000239399	0.120038	0.128402	17.76	9.80765	0	0	0	0	0	0	0	0	5.24	4.7634	3.92	3.48712	0.24	0.830662	0	0	8.36	5.80144	-9	0	0.0007296	0.000499566	0.000215751	0.000206157	0.212427	0.140791	14.88	9.01073	0	0	0	0	0	0	0	0	7.4	5.3929	1.04	1.56738	1.12	1.45258	0	0	5.32	5.06392	-9	0	0.000782427	0.000525816	0.000211495	0.000197099	0.102531	0.231795	15.56	9.15642	0	0	0	0	0	0	0	0	6.92	4.95749	1.72	1.76824	0.88	1.53623	0	0	6.04	5.15978	-9	0	0.000841338	0.000561524	0.000355937	0.000340085	0.268925	0.190151	14.08	7.70238	0	0	0	0	0	0	0.16	0.8	6.6	4.45346	1.56	1.75784	0.96	1.33791	0.08	0.276887	4.72	5.20833	-9	0	0.000771396	0.0004807	0.000228911	0.00019307	0.150373	0.169501	14.16	8.34006	0	0	0	0	0.04	0.2	0.2	0.816497	5.52	4.30232	1.6	1.77951	0.64	1.28712	0.04	0.2	6.12	4.76375	-9	0	0.000790356	0.000621317	0.000395713	0.000374902	0.284862	0.216205	10.96	6.57318	0	0	0	0	0	0	0.56	1.19304	2.32	1.8421	3.48	2.61598	0.32	0.748331	0.56	1.15758	3.72	4.95412	-9	0
7	0.461664	0.45897	0.000398341	0.000221232	0.487622	1.1851	0.000460945	0.000298965	0.548055	0.584441	0.000334011	0.000241113	0.413837	1.17635	0.000415642	0.000360673	0.692948	1.01747	0.000521068	0.000286231	0.638752	1.04988	0.000604961	0.000330356	0.415293	0.647271	0.000304823	0.000245787	0.0109794	1.07067	0.000329581	0.000370695	0.000743004	0.000376627	0.000304711	0.00022116	0.249162	0.233879	13.36	6.88525	0	0	0	0	0	0	0.28	0.890693	4.12	3.29545	3.2	3.21455	0.64	1.35031	0.2	0.408248	4.92	3.34066	-9	0	0.000760978	0.000404813	0.000228025	0.000197798	0.137846	0.125138	15.84	9.36162	0	0	0	0	0	0	0.04	0.2	2.96	2.4235	5.68	5.9	0.04	0.2	0.44	1.08321	6.68	3.68239	-9	0	0.000692992	0.000427227	0.000297729	0.000282379	0.206383	0.219901	13.28	7.46949	0	0	0	0	0	0	0.24	0.43589	4.4	3.59398	3.12	3.96148	0.92	1.46969	0.24	1.0116	4.36	3.77359	-9	0	0.00068775	0.000412694	0.000177448	0.000152132	0.134104	0.147294	15.64	9.06403	0	0	0	0	0	0	0	0	2.76	2.27816	6.4	4.82183	0.08	0.276887	0.92	1.49778	5.48	4.36005	-9	0	0.000596788	0.000390247	0.000224176	0.000152437	0.224467	0.201606	12.72	7.46949	0	0	0.04	0.2	0	0	0.4	1	3.8	3.02765	3.48	3.57211	0.76	1.16476	0.48	1.1225	3.76	4.14608	-9	0	0.000700806	0.000430856	0.000233535	0.000226346	0.143144	0.205423	15.52	9.37248	0	0	0	0	0.04	0.2	0.08	0.276887	6.64	4.82942	2.6	2.5658	1.04	1.2741	0	0	5.12	5.12608	-9	0
8	0.783111	1.13937	0.000446167	0.000241364	0.321065	1.3044	0.000535882	0.000423425	0.820649	0.932898	0.000524254	0.000206714	0.429262	0.94786	0.000614516	0.000314239	0.608387	0.832477	0.000502595	0.000261173	0.629747	1.1693	0.000600644	0.000336803	0.279072	0.45621	0.000291116	0.000192042	-0.295832	1.29942	0.000259584	0.000269809	0.000777911	0.000436251	0.000202712	0.000167533	0.136297	0.117462	19.12	7.73692	0	0	0	0	0	0	0	0	3.92	2.95691	6.08	3.05396	0.44	1.35647	0.52	1.8735	8.16	4.65188	-9	0	0.000748254	0.00039288	0.000179991	0.000133225	0.139071	0.12545	18.76	8.45222	0	0	0	0	0	0	0.32	1.14455	4.44	3.15013	5.72	3.51805	0.4	1.32288	0.2	0.816497	7.68	5.11306	-9	0	0.000686672	0.000455859	0.000288939	0.000244536	0.213828	0.191536	15.64	7.44357	0	0	0	0	0.04	0.2	0.48	1.8735	6.12	4.01373	2.56	2.31084	0.76	1.26754	0.04	0.2	5.64	5.01564	-9	0	0.000730626	0.000384238	0.000123046	0.000125359	0.0603208	0.174403	20.16	8.15312	0	0	0	0	0	0	0.28	1.2083	5.84	3.2104	4.96	3.747	0.44	1.26095	0.16	0.553775	8.48	4.66476	-9	0	0.000688929	0.000410964	0.000251879	0.000232192	0.108648	0.39256	17.48	6.89879	0	0	0	0	0	0	0.24	1.0116	7.96	4.40151	2.28	2.09205	1.04	2.00998	0.2	0.57735	5.76	4.58512	-9	0	0.000649716	0.00037401	0.000219602	0.000176211	0.114757	0.187763	16.8	7.84219	0	0	0	0	0	0	0.56	1.47422	7.28	4.71275	2.48	2.36502	0.72	1.24231	0.16	0.6245	5.6	4.5	-9	0
