Locus NbInd length
Loc1 55 736
Loc2 63 740
Loc3 65 837
Loc4 15 531
Loc5 21 698
Loc6 70 667
Loc7 42 637
Loc8 25 787
Loc9 11 772
Loc10 43 844
Loc11 69 760
Loc12 31 854
Loc13 67 822
Loc14 20 682
Loc15 49 578
Loc16 12 514
Loc17 27 502
Loc18 47 735
Loc19 73 853
Loc20 37 814
Loc21 11 895
Loc22 75 544
Loc23 20 888
Loc24 40 687
Loc25 80 804
Loc26 55 890
Loc27 11 584
Loc28 76 860
Loc29 33 697
Loc30 23 545
Loc31 78 781
Loc32 14 571
Loc33 13 683
Loc34 72 741
Loc35 59 731
Loc36 19 768
Loc37 78 672
Loc38 28 872
Loc39 63 856
Loc40 26 642
Loc41 10 742
Loc42 60 619
Loc43 37 628
Loc44 65 695
Loc45 15 724
Loc46 68 709
Loc47 55 581
Loc48 74 757
Loc49 72 507
Loc50 23 592
Loc51 35 879
Loc52 17 841
Loc53 53 574
Loc54 66 634
Loc55 32 513
Loc56 28 788
Loc57 73 706
Loc58 14 631
Loc59 31 593
Loc60 67 759
Loc61 30 600
Loc62 56 726
Loc63 40 799
Loc64 48 560
Loc65 72 810
Loc66 65 798
Loc67 10 674
Loc68 77 662
Loc69 67 685
Loc70 66 503
Loc71 76 535
Loc72 49 702
Loc73 39 700
Loc74 52 732
Loc75 56 711
Loc76 11 859
Loc77 47 805
Loc78 24 763
Loc79 19 824
Loc80 29 671
Loc81 61 867
Loc82 34 617
Loc83 16 681
Loc84 21 737
Loc85 17 633
Loc86 23 673
Loc87 66 883
Loc88 75 599
Loc89 56 500
Loc90 59 657
Loc91 20 597
Loc92 56 525
Loc93 55 615
Loc94 42 838
Loc95 25 795
Loc96 52 896
Loc97 37 539
Loc98 47 866
Loc99 37 567
Loc100 79 699
