Locus NbInd1 NbInd2 length
Loc1 36 46 638
Loc2 52 16 724
Loc3 16 21 867
Loc4 76 61 581
Loc5 67 48 805
Loc6 20 47 673
Loc7 68 48 545
Loc8 50 47 882
Loc9 47 28 659
Loc10 52 34 794
Loc11 23 19 879
Loc12 68 71 716
Loc13 56 23 591
Loc14 14 59 760
Loc15 61 70 513
Loc16 40 15 502
Loc17 64 52 713
Loc18 47 52 609
Loc19 24 33 547
Loc20 22 74 674
Loc21 73 38 717
Loc22 23 38 894
Loc23 25 61 731
Loc24 21 66 762
Loc25 80 51 556
Loc26 32 11 807
Loc27 64 29 896
Loc28 53 11 887
Loc29 43 72 852
Loc30 19 11 650
Loc31 27 47 559
Loc32 27 65 889
Loc33 53 10 605
Loc34 66 32 636
Loc35 58 42 590
Loc36 27 51 704
Loc37 67 76 645
Loc38 15 35 661
Loc39 17 69 537
Loc40 44 64 871
Loc41 38 62 620
Loc42 25 42 583
Loc43 13 69 709
Loc44 76 76 552
Loc45 11 77 812
Loc46 34 37 505
Loc47 14 57 837
Loc48 22 63 855
Loc49 58 25 842
Loc50 50 29 824
