Locus NbInd1 NbInd2 NbInd3 NbInd4 length
Loc1 57 77 31 15 768
Loc2 38 24 78 50 670
Loc3 52 70 52 34 720
Loc4 13 63 70 46 724
Loc5 25 49 16 71 870
Loc6 33 24 12 51 767
Loc7 75 13 58 53 712
Loc8 12 77 38 25 871
Loc9 25 52 26 20 800
Loc10 71 25 31 51 831
Loc11 56 38 12 67 713
Loc12 42 66 28 52 592
Loc13 61 64 17 44 542
Loc14 63 16 11 41 764
Loc15 17 66 31 21 604
Loc16 45 32 78 38 845
Loc17 51 61 50 72 830
Loc18 61 77 51 63 703
Loc19 76 29 74 18 889
Loc20 27 16 44 27 856
Loc21 53 15 17 43 667
Loc22 49 39 39 80 832
Loc23 72 39 35 31 590
Loc24 27 68 28 69 649
Loc25 80 63 46 33 560
